,N,chi,f_tree,f_std_tree,f_mps,f_std_mps,f_omps,f_std_omps,mem_tree,mem_std_tree,mem_mps,mem_std_mps,mem_omps,mem_std_omps
35,90,4,0.006011413145448073,0.005324211136346983,0.005420691444204703,0.00538594319306606,0.005812023431344617,0.007615411482539556,289.8,86.25984001840023,214.0,20.69782597279241,224.5,17.887146222916613
36,90,7,0.019694328977543238,0.015150055918084472,0.013967171204050475,0.012255647271803114,0.017062808524399377,0.019162114377290877,623.4,155.1555348674355,535.0,39.230090491866065,544.0,0.0
37,90,10,0.07464325793731279,0.06897725806950784,0.03348725223351352,0.025185298542187155,0.04287978574316571,0.03473085784692807,905.4,134.5289559908944,888.0,0.0,888.0,0.0
38,90,13,0.17250685768521706,0.1499893507764895,0.07664067981131346,0.049828256845235105,0.100395909721211,0.061330711520110937,1134.9,78.25209262377588,1260.0,0.0,1260.0,0.0
39,90,16,0.4242975712372373,0.33846007661264016,0.2151062728854535,0.12915930865769237,0.270064736543596,0.1487593124023189,1384.2,159.93236070289214,1704.0,0.0,1704.0,0.0
40,90,19,0.5134647238339556,0.30458059597924697,0.3402577427350266,0.1472359120491232,0.41213428191478607,0.1500820604131098,1461.0,179.35384021536868,1896.0,0.0,1896.0,0.0
41,90,22,0.620567193132596,0.255073047278718,0.5293699203112677,0.13153862029750193,0.6057765623755194,0.11759034933617123,1537.8,237.59621209101797,2088.0,0.0,2088.0,0.0
42,90,25,0.7430145262978873,0.1888878228871565,0.7617617729056179,0.0799937958527862,0.8110407894696408,0.06386476760015344,1614.6,313.7368961406994,2280.0,0.0,2280.0,0.0
43,90,28,0.8632625402662362,0.10962991718268747,0.9407211447153617,0.02241960166281175,0.9540215827736425,0.017834991723636773,1691.4,397.6234902517707,2472.0,0.0,2472.0,0.0
44,90,31,0.9707141073346847,0.02639706067049041,0.9976769937957677,0.002364639888986685,0.9980885778119826,0.0015304528368681243,1768.2,485.2553554573097,2664.0,0.0,2664.0,0.0
45,90,34,0.9999999999999396,1.3435602357924763e-14,0.999999999987233,4.340703842115874e-11,0.9999999999860094,3.4398455549286893e-11,1793.8,514.970251567991,2728.0,0.0,2728.0,0.0
46,90,37,0.9999999999999396,1.3435602357924763e-14,0.999999999987233,4.340703842115874e-11,0.9999999999860094,3.4398455549286893e-11,1793.8,514.970251567991,2728.0,0.0,2728.0,0.0
47,90,40,0.9999999999999396,1.3435602357924763e-14,0.999999999987233,4.340703842115874e-11,0.9999999999860094,3.4398455549286893e-11,1793.8,514.970251567991,2728.0,0.0,2728.0,0.0
48,90,43,0.9999999999999396,1.3435602357924763e-14,0.999999999987233,4.340703842115874e-11,0.9999999999860094,3.4398455549286893e-11,1793.8,514.970251567991,2728.0,0.0,2728.0,0.0
49,90,46,0.9999999999999396,1.3435602357924763e-14,0.999999999987233,4.340703842115874e-11,0.9999999999860094,3.4398455549286893e-11,1793.8,514.970251567991,2728.0,0.0,2728.0,0.0
50,90,49,0.9999999999999396,1.3435602357924763e-14,0.999999999987233,4.340703842115874e-11,0.9999999999860094,3.4398455549286893e-11,1793.8,514.970251567991,2728.0,0.0,2728.0,0.0
51,120,1,0.00016066319122953786,0.00023489267828559864,0.00016066319122954345,0.00023489267828560693,0.00016066319122954426,0.00023489267828560815,20.0,0.0,20.0,0.0,20.0,0.0
52,120,4,0.00036153308507950484,0.0003546728212320693,0.0005120414009009763,0.0005598820956155208,0.00038163985068680656,0.00034056912128785973,273.8,47.387340081502785,225.0,15.446682491719702,226.9,9.538867857350787
53,120,7,0.0023294248601655188,0.0021877001525097157,0.0019143775849015932,0.0017336278318012626,0.0017316756292577958,0.0015203111251326244,574.4,103.7103659235662,544.0,0.0,544.0,0.0
54,120,10,0.009112904414268302,0.014031379150318973,0.0048338849350091475,0.004269041210410836,0.0067211914233502885,0.00379873667844836,844.6,121.45962292054097,888.0,0.0,888.0,0.0
55,120,13,0.03409836919803408,0.058586205740958436,0.014169090801724026,0.010848702211360185,0.021635613662120134,0.009659072413480591,1072.9,115.26053097222831,1260.0,0.0,1260.0,0.0
56,120,16,0.14285466070696878,0.24635405787360307,0.05221366416698557,0.023488812105979997,0.08380743578961017,0.03787206217191205,1313.8,158.71219234828808,1704.0,0.0,1704.0,0.0
57,120,19,0.2067829946815626,0.24327585194114998,0.1258239425667657,0.035685732263412824,0.18067360724409687,0.04683674690402334,1437.1,144.9875511897487,1896.0,0.0,1896.0,0.0
58,120,22,0.31878073557840425,0.22966012646149545,0.2914000328583345,0.05219471882853652,0.3724733760955098,0.04925408352848182,1562.2,203.7978410091726,2088.0,0.0,2088.0,0.0
59,120,25,0.48304305777452206,0.1943091442674397,0.5884996389397765,0.04701281389520441,0.6592316313539308,0.03249582800671292,1689.1,299.3108584732602,2280.0,0.0,2280.0,0.0
60,120,28,0.7070023660498613,0.12693114720719922,0.8919071584814988,0.018044434125154336,0.9135744002091561,0.012103828458942506,1817.8,410.3802626832826,2472.0,0.0,2472.0,0.0
61,120,31,0.9332336554089713,0.0344179360859972,0.9968003884528835,0.001484786931739907,0.9968110168047296,0.0015645977807336757,1948.3,530.6676078299862,2664.0,0.0,2664.0,0.0
62,120,34,0.9999999999999123,1.541715671334207e-14,0.9999999999999604,7.937512319908945e-15,0.999999999998265,7.371360410139967e-12,1992.2,572.4103073844844,2728.0,0.0,2728.0,0.0
63,120,37,0.9999999999999123,1.541715671334207e-14,0.9999999999999604,7.937512319908945e-15,0.999999999998265,7.371360410139967e-12,1992.2,572.4103073844844,2728.0,0.0,2728.0,0.0
64,120,40,0.9999999999999123,1.541715671334207e-14,0.9999999999999604,7.937512319908945e-15,0.999999999998265,7.371360410139967e-12,1992.2,572.4103073844844,2728.0,0.0,2728.0,0.0
65,120,43,0.9999999999999123,1.541715671334207e-14,0.9999999999999604,7.937512319908945e-15,0.999999999998265,7.371360410139967e-12,1992.2,572.4103073844844,2728.0,0.0,2728.0,0.0
66,120,46,0.9999999999999123,1.541715671334207e-14,0.9999999999999604,7.937512319908945e-15,0.999999999998265,7.371360410139967e-12,1992.2,572.4103073844844,2728.0,0.0,2728.0,0.0
67,120,49,0.9999999999999123,1.541715671334207e-14,0.9999999999999604,7.937512319908945e-15,0.999999999998265,7.371360410139967e-12,1992.2,572.4103073844844,2728.0,0.0,2728.0,0.0
68,150,1,2.9605644656357855e-05,2.4295589744668316e-05,2.9605644656359566e-05,2.429558974466974e-05,2.9605644656359665e-05,2.429558974466957e-05,20.0,0.0,20.0,0.0,20.0,0.0
69,150,4,9.121927241390577e-05,7.946209805302483e-05,0.00013435806400714965,0.00014035920460392327,0.0001371403448540777,0.00017868021069533308,305.6,93.64955952912968,214.0,17.435595774162696,221.2,13.49666625504239
70,150,7,0.0009703989788762543,0.0012342945658141676,0.0002944951470421836,0.0002730233815213909,0.0005639550702937678,0.0006290187108673534,630.8,134.84272320003035,544.0,0.0,540.7,14.38436651368422
71,150,10,0.011503805685880057,0.02807524632121816,0.0010660621343395477,0.0010216152587742607,0.001557049036290475,0.0017205259395305665,924.4,116.47420315245775,878.1,43.153099541052676,888.0,0.0
72,150,13,0.04767918092839228,0.10320496204657369,0.004010585316206929,0.004282198375946981,0.006059693046357229,0.004767612630208616,1183.3,135.65142830062643,1260.0,0.0,1260.0,0.0
73,150,16,0.27828231192538977,0.37735332616893924,0.018972457237966596,0.012273517976850086,0.0375780779037697,0.028133628553518857,1465.6,261.93556459557,1704.0,0.0,1704.0,0.0
74,150,19,0.33630815503133216,0.36439991479152967,0.059169598506590315,0.022610406471757705,0.09498408230220032,0.04315277635998315,1525.6,274.9004183336213,1896.0,0.0,1896.0,0.0
75,150,22,0.4229059452103697,0.3459105210824078,0.17858370857148453,0.039239260660874666,0.24356874636496814,0.06951499428047785,1585.6,315.47145671201383,2088.0,0.0,2088.0,0.0
76,150,25,0.5423382686392132,0.3102434044029966,0.4745618977917688,0.04338392280611817,0.5475348598157868,0.05862756928280277,1645.6,374.78826022168846,2280.0,0.0,2280.0,0.0
77,150,28,0.7151540930364982,0.22526629284910304,0.849605822507864,0.018828726443183917,0.8753437931982534,0.023256438225170706,1705.6,445.4236634935329,2472.0,0.0,2472.0,0.0
