,N,chi,f_tree,f_mps,f_omps,mem_tree,mem_mps,mem_omps
406,200,6,4.791793993777804e-06,1.622659316414915e-05,9.179933646414553e-06,436,424,424
407,200,7,8.428187878520214e-06,3.7910901272640395e-06,1.6914393786463762e-05,528,544,544
408,200,8,3.739508279370183e-05,1.5694321991192236e-05,8.866131061898862e-06,628,680,680
409,200,9,8.624937969268145e-06,2.2011701769446997e-05,0.00010703460056953865,692,780,780
410,200,10,1.3308396123355133e-05,0.0003738126180870231,0.00017022446740216993,756,888,888
411,200,11,2.493977936961019e-05,8.579346399108938e-06,0.000381624002485608,820,1004,1004
412,200,12,0.00016234993209864425,8.883453341148098e-05,0.00022315399335740783,884,1128,1128
413,200,13,0.00025399111843864107,0.00022494417392053006,0.00010803746081890919,948,1260,1260
414,200,14,0.0001668855276735584,0.0002463737449032903,0.000519933446557495,1012,1400,1400
415,200,15,0.0004096110980953423,0.001806933068558472,0.0007597312736564386,1076,1548,1548
416,200,16,0.0006744963205299815,0.0006523516970471537,0.0032864412915644624,1140,1704,1704
417,200,17,0.0005846882391823803,0.0025339260412216877,0.0035810975278215565,1204,1768,1768
418,200,18,0.0007788011454793307,0.002677863115468586,0.00795635098730113,1268,1832,1832
419,200,19,0.0027749415664080185,0.003025031134447161,0.011473137500504218,1332,1896,1896
420,200,5,1.037348794082173e-05,1.4276742191622471e-05,1.1259086518501548e-05,312,320,320
421,200,6,4.801541492610846e-05,4.6328279606200803e-05,6.281939324498543e-05,416,424,424
422,200,7,1.0688551792439762e-05,8.893007097042657e-05,4.511107476942787e-05,536,544,544
423,200,8,6.89469181344656e-05,3.589602220951186e-05,0.0003840668772373392,672,680,680
424,200,9,0.0001942243708182365,6.620218678911751e-05,0.00016074241036825217,754,780,780
425,200,10,0.00023988056624354076,6.666984276956629e-05,0.0002672956951841533,840,888,888
426,200,11,0.0003805743962727849,6.570658671177629e-05,0.00010185594018458743,930,1004,1004
427,200,12,0.00012874555631863413,0.0002943104607881176,1.868120055637262e-05,1024,1128,1128
428,200,13,0.0003448132562645246,0.0013105147129407909,0.0006600353615345359,1122,1260,1260
429,200,14,0.0008541636394243455,0.0026250684801414816,0.0027517093698945726,1224,1400,1400
430,200,15,0.0009260182032292885,0.00407358555229853,0.004420317278193151,1330,1548,1548
431,200,16,0.004501273336640513,0.005118989313975423,0.00862740458618928,1440,1704,1704
432,200,17,0.007260186711369483,0.01143168305225944,0.013228561003483488,1504,1768,1768
433,200,18,0.007384677286597373,0.016240707686663206,0.01291902984166232,1568,1832,1832
434,200,19,0.011649086351434693,0.01801953855290219,0.02402919671031141,1632,1896,1896
435,200,5,4.522545449162125e-05,5.1644867445449376e-05,7.63850575011624e-06,474,320,320
436,200,6,2.3755132454476358e-05,8.617080738165257e-06,5.0696586945061805e-05,568,424,424
437,200,7,3.96760995085158e-05,8.514003874850226e-06,8.165268697327454e-05,666,544,544
438,200,8,4.7501842266384145e-05,0.00017381322366303374,0.00016151247543916175,768,680,680
439,200,9,9.669610623623226e-05,3.982956697112577e-05,9.328249744891438e-05,848,780,780
440,200,10,8.677525294128186e-05,2.845452448381869e-05,0.00020115619627345224,928,888,888
441,200,11,0.0002661009130810019,0.00021609211261732064,0.00010040672981491427,1008,1004,1004
442,200,12,0.00037232572108591104,6.586890662389639e-05,0.0006039900493259709,1088,1128,1128
